Curvature (R_mu_nu),Quantum Coupling (beta),Max Amplitude,Final Amplitude
1e-12,0.05,1.0000482358337563,1.0000338275782532
1e-12,0.1,1.0000822777180616,1.0000354916067598
1e-12,0.15000000000000002,1.0001577464845663,1.000114904212822
1e-12,0.2,1.0001631776823976,1.0000668196536286
2e-12,0.05,1.0000482358337561,1.000033827578253
2e-12,0.1,1.0000868712688236,1.0000590607349895
2e-12,0.15000000000000002,1.0001232083825862,1.0000623043137595
2e-12,0.2,1.00016195018558,1.0000497912409938
3e-12,0.05,1.0000482358337563,1.0000338275782532
3e-12,0.1,1.00008227771804,1.000032450223976
3e-12,0.15000000000000002,1.000123208382586,1.0000813498974868
3e-12,0.2,1.0001619501855796,1.0000925250237382
4e-12,0.05,1.0000482358337535,1.00003382757825
4e-12,0.1,1.0000822777180176,1.0000423630551787
4e-12,0.15000000000000002,1.000164342840143,1.0001241842022004
4e-12,0.2,1.0002579915233571,1.0002038571975485
5e-12,0.05,1.0000482358337548,1.0000338275782517
5e-12,0.1,1.000082277718098,1.0000519866478221
5e-12,0.15000000000000002,1.000123208382586,0.9999721649569218
5e-12,0.2,1.000161950179215,0.9999845161843078
